Date,Temperature_C,Rainfall_mm,Humidity_pct,Year,Month,Season,Temp_30d_Avg,Anomaly
2000-02-01,20.99,0.11,61.0,2000,2,Winter,17.055,1
2000-02-02,17.28,1.24,39.0,2000,2,Winter,17.021,1
2000-02-03,15.21,0.45,62.0,2000,2,Winter,16.859666666666666,1
2000-02-04,18.99,0.09,46.0,2000,2,Winter,16.941333333333333,1
2000-02-05,14.92,1.85,70.0,2000,2,Winter,16.887333333333334,1
2000-02-06,17.8,0.41,56.0,2000,2,Winter,16.808333333333334,1
2000-02-07,13.49,0.25,55.0,2000,2,Winter,16.639666666666667,1
2000-02-08,14.77,2.05,65.0,2000,2,Winter,16.596,1
2000-02-09,17.85,2.32,74.0,2000,2,Winter,16.587333333333333,1
2000-02-10,18.95,0.41,63.0,2000,2,Winter,16.682333333333336,1
2000-02-11,17.84,0.44,87.0,2000,2,Winter,16.74,1
2000-02-12,17.29,0.87,86.0,2000,2,Winter,16.732,1
2000-02-13,16.95,1.32,49.0,2000,2,Winter,16.856,1
2000-02-14,14.62,0.07,43.0,2000,2,Winter,16.889666666666667,1
2000-02-15,16.16,0.9,42.0,2000,2,Winter,16.630333333333333,1
2000-02-16,16.7,3.05,87.0,2000,2,Winter,16.685333333333332,1
2000-02-17,19.77,0.3,42.0,2000,2,Winter,16.753666666666668,1
2000-02-18,18.37,2.39,54.0,2000,2,Winter,16.856666666666666,1
2000-02-19,14.18,3.0,60.0,2000,2,Winter,16.852999999999998,1
2000-02-20,18.39,0.31,87.0,2000,2,Winter,16.797666666666668,1
2000-02-21,17.0,1.4,40.0,2000,2,Winter,16.808333333333334,1
2000-02-22,16.44,0.27,76.0,2000,2,Winter,16.78033333333333,1
2000-02-23,19.05,1.34,60.0,2000,2,Winter,16.938333333333333,1
2000-02-24,19.92,1.6,58.0,2000,2,Winter,17.066,1
2000-02-25,19.75,0.28,60.0,2000,2,Winter,17.144,1
2000-02-26,16.24,1.26,49.0,2000,2,Winter,17.188666666666666,1
2000-02-27,17.33,1.67,54.0,2000,2,Winter,17.167333333333332,1
2000-02-28,18.65,0.44,49.0,2000,2,Winter,17.254666666666665,1
2000-02-29,19.97,0.18,40.0,2000,2,Winter,17.364666666666665,1
2000-03-01,25.09,0.1,42.0,2000,3,Summer,17.665333333333333,1
2000-03-02,17.72,0.86,78.0,2000,3,Summer,17.55633333333333,1
2000-03-03,15.91,3.82,55.0,2000,3,Summer,17.51066666666667,1
2000-03-04,15.76,1.73,70.0,2000,3,Summer,17.529,1
2000-03-05,19.82,0.57,57.0,2000,3,Summer,17.556666666666665,1
2000-03-06,20.94,0.77,57.0,2000,3,Summer,17.757333333333335,1
2000-03-07,18.12,0.33,59.0,2000,3,Summer,17.768000000000004,1
2000-03-08,20.31,0.18,71.0,2000,3,Summer,17.995333333333335,1
2000-03-09,19.06,0.66,50.0,2000,3,Summer,18.138333333333332,1
2000-03-10,17.09,0.62,58.0,2000,3,Summer,18.113,1
2000-03-11,19.14,0.74,74.0,2000,3,Summer,18.119333333333334,1
2000-03-12,21.53,3.05,76.0,2000,3,Summer,18.24233333333333,1
2000-03-13,18.43,0.93,82.0,2000,3,Summer,18.28033333333333,1
2000-03-14,21.67,0.93,46.0,2000,3,Summer,18.437666666666665,1
2000-03-15,13.34,0.14,50.0,2000,3,Summer,18.394999999999996,1
2000-03-16,20.26,5.65,57.0,2000,3,Summer,18.531666666666663,1
2000-03-17,18.84,1.48,40.0,2000,3,Summer,18.603,1
2000-03-18,18.11,2.1,73.0,2000,3,Summer,18.547666666666665,1
2000-03-19,18.93,0.53,64.0,2000,3,Summer,18.56633333333333,1
2000-03-20,14.82,0.7,58.0,2000,3,Summer,18.587666666666667,1
2000-03-21,18.4,0.74,75.0,2000,3,Summer,18.588,1
2000-03-22,19.59,0.22,49.0,2000,3,Summer,18.674333333333333,1
2000-03-23,21.88,1.17,77.0,2000,3,Summer,18.855666666666664,1
2000-03-24,17.93,2.33,86.0,2000,3,Summer,18.81833333333333,1
2000-03-25,17.4,0.18,65.0,2000,3,Summer,18.734333333333336,1
2000-03-26,18.06,0.09,60.0,2000,3,Summer,18.678,1
2000-03-27,20.94,1.34,63.0,2000,3,Summer,18.83466666666667,1
2000-03-28,19.81,0.32,39.0,2000,3,Summer,18.917333333333332,1
2000-03-29,18.14,0.98,57.0,2000,3,Summer,18.900333333333332,1
2000-03-30,20.27,1.19,91.0,2000,3,Summer,18.91033333333333,1
2000-03-31,19.49,0.39,92.0,2000,3,Summer,18.723666666666663,1
2000-04-01,21.28,1.69,61.0,2000,4,Summer,18.842333333333332,1
2000-04-02,17.99,0.8,52.0,2000,4,Summer,18.911666666666665,1
2000-04-03,18.79,2.03,75.0,2000,4,Summer,19.012666666666668,1
2000-04-04,18.71,1.44,59.0,2000,4,Summer,18.975666666666665,1
2000-04-05,16.62,2.03,74.0,2000,4,Summer,18.831666666666663,1
2000-04-06,20.18,0.02,49.0,2000,4,Summer,18.900333333333332,1
2000-04-07,20.17,0.28,65.0,2000,4,Summer,18.895666666666667,1
2000-04-08,19.71,0.09,55.0,2000,4,Summer,18.917333333333332,1
2000-04-09,19.28,0.58,60.0,2000,4,Summer,18.990333333333336,1
2000-04-10,16.97,2.21,51.0,2000,4,Summer,18.918,1
2000-04-11,19.01,0.63,58.0,2000,4,Summer,18.834,1
2000-04-12,19.22,1.9,65.0,2000,4,Summer,18.860333333333337,1
2000-04-13,18.35,0.4,70.0,2000,4,Summer,18.749666666666666,1
2000-04-14,19.69,0.41,58.0,2000,4,Summer,18.961333333333336,1
2000-04-15,20.87,2.26,82.0,2000,4,Summer,18.98166666666667,1
2000-04-16,23.89,0.55,41.0,2000,4,Summer,19.15,1
2000-04-17,20.52,1.56,38.0,2000,4,Summer,19.23033333333333,1
2000-04-18,20.74,0.27,51.0,2000,4,Summer,19.290666666666667,1
2000-04-19,20.14,2.97,60.0,2000,4,Summer,19.468,1
2000-04-20,16.5,0.85,84.0,2000,4,Summer,19.404666666666667,1
2000-04-21,20.34,1.42,57.0,2000,4,Summer,19.429666666666666,1
2000-04-22,20.57,0.09,46.0,2000,4,Summer,19.386000000000003,1
2000-04-23,25.44,0.68,50.0,2000,4,Summer,19.636333333333333,1
2000-04-24,20.18,2.31,61.0,2000,4,Summer,19.729,1
2000-04-25,21.23,2.1,44.0,2000,4,Summer,19.834666666666667,1
2000-04-26,20.61,0.05,89.0,2000,4,Summer,19.823666666666664,1
2000-04-27,18.4,0.36,25.0,2000,4,Summer,19.776666666666664,1
2000-04-28,23.09,0.59,49.0,2000,4,Summer,19.941666666666666,1
2000-04-29,22.36,0.19,52.0,2000,4,Summer,20.011333333333333,1
2000-04-30,22.5,1.31,45.0,2000,4,Summer,20.111666666666668,1
2000-05-01,19.16,0.2,70.0,2000,5,Summer,20.041,1
2000-05-02,23.84,0.43,50.0,2000,5,Summer,20.236,1
2000-05-03,18.29,1.09,69.0,2000,5,Summer,20.21933333333333,1
2000-05-04,22.33,0.66,84.0,2000,5,Summer,20.34,1
2000-05-05,25.6,1.34,79.0,2000,5,Summer,20.639333333333337,1
2000-05-06,19.3,3.25,62.0,2000,5,Summer,20.61,1
2000-05-07,20.21,0.12,60.0,2000,5,Summer,20.611333333333334,1
2000-05-08,21.6,1.24,73.0,2000,5,Summer,20.674333333333333,1
2000-05-09,20.46,0.26,56.0,2000,5,Summer,20.713666666666665,1
2000-05-10,18.42,0.54,53.0,2000,5,Summer,20.762,1
2000-05-11,21.72,0.03,45.0,2000,5,Summer,20.852333333333334,1
2000-05-12,19.52,0.15,65.0,2000,5,Summer,20.862333333333332,1
2000-05-13,22.66,0.39,44.0,2000,5,Summer,21.005999999999997,1
2000-05-14,19.94,0.42,49.0,2000,5,Summer,21.014333333333337,1
2000-05-15,24.94,2.3,92.0,2000,5,Summer,21.15,1
2000-05-16,20.33,1.35,70.0,2000,5,Summer,21.031333333333336,1
2000-05-17,21.32,3.58,66.0,2000,5,Summer,21.058,1
2000-05-18,23.66,0.91,49.0,2000,5,Summer,21.155333333333335,1
2000-05-19,19.63,0.28,72.0,2000,5,Summer,21.138333333333335,1
2000-05-20,22.61,0.4,45.0,2000,5,Summer,21.342,1
2000-05-21,24.84,0.39,37.0,2000,5,Summer,21.492,1
2000-05-22,19.07,0.4,52.0,2000,5,Summer,21.442,1
2000-05-23,22.72,1.12,42.0,2000,5,Summer,21.351333333333333,1
2000-05-24,22.94,0.76,67.0,2000,5,Summer,21.44333333333333,1
2000-05-25,24.05,0.49,65.0,2000,5,Summer,21.537333333333333,1
2000-05-26,20.07,0.16,63.0,2000,5,Summer,21.519333333333336,1
2000-05-27,19.97,0.02,69.0,2000,5,Summer,21.57166666666667,1
2000-05-28,23.72,0.25,68.0,2000,5,Summer,21.592666666666666,1
2000-05-29,23.34,0.11,50.0,2000,5,Summer,21.625333333333334,1
2000-05-30,23.31,1.54,67.0,2000,5,Summer,21.652333333333335,1
2000-05-31,23.57,0.12,65.0,2000,5,Summer,21.799333333333333,1
2000-06-01,21.58,11.21,51.0,2000,6,Monsoon,21.724,1
2000-06-02,23.48,2.29,55.0,2000,6,Monsoon,21.897000000000002,1
2000-06-03,23.66,26.98,73.0,2000,6,Monsoon,21.941333333333333,1
2000-06-04,21.72,3.07,40.0,2000,6,Monsoon,21.812,1
2000-06-05,26.94,1.62,65.0,2000,6,Monsoon,22.066666666666666,1
2000-06-06,24.23,0.94,58.0,2000,6,Monsoon,22.200666666666667,1
2000-06-07,20.96,8.29,60.0,2000,6,Monsoon,22.179333333333332,1
2000-06-08,24.73,1.21,56.0,2000,6,Monsoon,22.32166666666667,1
2000-06-09,21.53,1.49,66.0,2000,6,Monsoon,22.425333333333334,1
2000-06-10,25.12,3.57,36.0,2000,6,Monsoon,22.538666666666664,1
2000-06-11,25.93,3.31,64.0,2000,6,Monsoon,22.752333333333333,1
2000-06-12,22.04,9.27,44.0,2000,6,Monsoon,22.73166666666667,1
2000-06-13,25.68,16.97,75.0,2000,6,Monsoon,22.923,1
2000-06-14,24.65,14.33,41.0,2000,6,Monsoon,22.913333333333334,1
2000-06-15,25.53,3.04,24.0,2000,6,Monsoon,23.086666666666662,1
2000-06-16,27.75,2.81,35.0,2000,6,Monsoon,23.301,1
2000-06-17,23.54,33.75,59.0,2000,6,Monsoon,23.297,1
2000-06-18,22.59,0.08,37.0,2000,6,Monsoon,23.395666666666664,1
2000-06-19,22.38,21.18,40.0,2000,6,Monsoon,23.388,1
2000-06-20,22.6,2.23,50.0,2000,6,Monsoon,23.313333333333333,1
2000-06-21,24.15,29.43,68.0,2000,6,Monsoon,23.482666666666667,1
2000-06-22,25.05,4.19,48.0,2000,6,Monsoon,23.560333333333336,1
2000-06-23,24.99,5.8,57.0,2000,6,Monsoon,23.628666666666668,1
2000-06-24,26.16,12.28,57.0,2000,6,Monsoon,23.699,1
2000-06-25,24.6,8.86,38.0,2000,6,Monsoon,23.85,1
2000-06-26,27.55,3.83,66.0,2000,6,Monsoon,24.102666666666664,1
2000-06-27,24.18,8.07,94.0,2000,6,Monsoon,24.118000000000002,1
2000-06-28,30.22,13.12,34.0,2000,6,Monsoon,24.347333333333335,1
2000-06-29,26.1,0.43,47.0,2000,6,Monsoon,24.44033333333333,1
2000-06-30,23.21,0.11,41.0,2000,6,Monsoon,24.428333333333335,1
2000-07-01,22.85,6.13,57.0,2000,7,Monsoon,24.470666666666666,1
2000-07-02,26.02,1.41,38.0,2000,7,Monsoon,24.555333333333333,1
2000-07-03,24.68,10.92,79.0,2000,7,Monsoon,24.589333333333332,1
2000-07-04,26.62,2.41,81.0,2000,7,Monsoon,24.752666666666663,1
2000-07-05,26.21,5.67,70.0,2000,7,Monsoon,24.728333333333335,1
2000-07-06,25.19,2.2,74.0,2000,7,Monsoon,24.760333333333335,1
2000-07-07,23.71,7.95,62.0,2000,7,Monsoon,24.851999999999997,1
2000-07-08,22.44,1.23,76.0,2000,7,Monsoon,24.775666666666666,1
2000-07-09,24.65,0.23,55.0,2000,7,Monsoon,24.879666666666665,1
2000-07-10,27.32,0.52,52.0,2000,7,Monsoon,24.953,1
2000-07-11,26.11,30.85,70.0,2000,7,Monsoon,24.959,1
2000-07-12,23.26,1.53,54.0,2000,7,Monsoon,24.999666666666666,1
2000-07-13,26.16,12.33,92.0,2000,7,Monsoon,25.015666666666668,1
2000-07-14,26.66,0.7,76.0,2000,7,Monsoon,25.082666666666668,1
2000-07-15,24.19,1.14,52.0,2000,7,Monsoon,25.038000000000004,1
2000-07-16,26.33,7.11,57.0,2000,7,Monsoon,24.990666666666666,1
2000-07-17,26.21,6.25,58.0,2000,7,Monsoon,25.079666666666665,1
2000-07-18,23.87,30.28,49.0,2000,7,Monsoon,25.122333333333337,1
2000-07-19,26.94,28.97,73.0,2000,7,Monsoon,25.27433333333333,1
2000-07-20,27.42,15.12,47.0,2000,7,Monsoon,25.435000000000002,1
2000-07-21,28.53,9.22,59.0,2000,7,Monsoon,25.581000000000003,1
2000-07-22,28.54,6.07,48.0,2000,7,Monsoon,25.697333333333333,1
2000-07-23,23.74,4.4,52.0,2000,7,Monsoon,25.655666666666665,1
2000-07-24,24.69,29.39,72.0,2000,7,Monsoon,25.60666666666667,1
2000-07-25,27.66,9.24,70.0,2000,7,Monsoon,25.708666666666666,1
2000-07-26,27.73,8.65,55.0,2000,7,Monsoon,25.71466666666667,1
2000-07-27,27.8,2.64,77.0,2000,7,Monsoon,25.83533333333333,1
2000-07-28,34.54,0.48,69.0,2000,7,Monsoon,25.979333333333333,1
2000-07-29,28.05,29.04,62.0,2000,7,Monsoon,26.044333333333334,1
2000-07-30,29.24,3.76,74.0,2000,7,Monsoon,26.245333333333335,1
2000-07-31,20.95,5.84,81.0,2000,7,Monsoon,26.182000000000002,1
2000-08-01,28.41,1.22,67.0,2000,8,Monsoon,26.261666666666667,1
2000-08-02,26.54,18.14,64.0,2000,8,Monsoon,26.323666666666668,1
2000-08-03,28.76,0.28,31.0,2000,8,Monsoon,26.395,1
2000-08-04,25.76,17.96,64.0,2000,8,Monsoon,26.38,1
2000-08-05,26.9,1.51,67.0,2000,8,Monsoon,26.436999999999998,1
2000-08-06,26.46,21.77,65.0,2000,8,Monsoon,26.528666666666666,1
2000-08-07,27.67,13.08,46.0,2000,8,Monsoon,26.703,1
2000-08-08,32.2,1.8,50.0,2000,8,Monsoon,26.954666666666665,1
2000-08-09,23.9,8.34,71.0,2000,8,Monsoon,26.840666666666664,1
2000-08-10,29.07,3.75,54.0,2000,8,Monsoon,26.939333333333334,1
2000-08-11,24.54,1.96,63.0,2000,8,Monsoon,26.981999999999996,1
2000-08-12,26.88,19.6,28.0,2000,8,Monsoon,27.005999999999997,1
2000-08-13,30.07,5.17,60.0,2000,8,Monsoon,27.119666666666667,1
2000-08-14,28.08,5.08,72.0,2000,8,Monsoon,27.24933333333333,1
2000-08-15,25.86,1.86,65.0,2000,8,Monsoon,27.233666666666668,1
2000-08-16,26.65,4.83,58.0,2000,8,Monsoon,27.248333333333335,1
2000-08-17,29.51,20.53,44.0,2000,8,Monsoon,27.436333333333334,1
2000-08-18,26.75,4.51,33.0,2000,8,Monsoon,27.430000000000003,1
2000-08-19,28.71,30.28,48.0,2000,8,Monsoon,27.473,1
2000-08-20,28.43,29.25,76.0,2000,8,Monsoon,27.46966666666667,1
2000-08-21,27.1,1.57,59.0,2000,8,Monsoon,27.42166666666667,1
2000-08-22,32.75,1.95,70.0,2000,8,Monsoon,27.722,1
2000-08-23,29.79,19.85,82.0,2000,8,Monsoon,27.892,1
2000-08-24,24.54,4.99,62.0,2000,8,Monsoon,27.788,1
2000-08-25,29.02,0.04,73.0,2000,8,Monsoon,27.831,1
2000-08-26,27.39,3.2,77.0,2000,8,Monsoon,27.817333333333334,1
2000-08-27,30.48,9.1,39.0,2000,8,Monsoon,27.682,1
2000-08-28,27.25,16.06,49.0,2000,8,Monsoon,27.65533333333333,1
2000-08-29,28.66,1.43,35.0,2000,8,Monsoon,27.636000000000003,1
2000-08-30,29.96,1.17,33.0,2000,8,Monsoon,27.93633333333333,1
2000-08-31,30.74,25.52,53.0,2000,8,Monsoon,28.014,1
2000-09-01,26.67,13.91,56.0,2000,9,Monsoon,28.018333333333334,1
2000-09-02,36.46,8.91,32.0,2000,9,Monsoon,28.275,1
2000-09-03,28.24,14.66,67.0,2000,9,Monsoon,28.357666666666667,1
2000-09-04,27.94,5.6,53.0,2000,9,Monsoon,28.392333333333333,1
2000-09-05,32.84,14.21,82.0,2000,9,Monsoon,28.605,1
2000-09-06,30.18,4.65,63.0,2000,9,Monsoon,28.688666666666666,1
2000-09-07,26.9,2.8,63.0,2000,9,Monsoon,28.512,1
2000-09-08,31.32,13.06,57.0,2000,9,Monsoon,28.759333333333338,1
2000-09-09,33.78,5.44,58.0,2000,9,Monsoon,28.916333333333334,1
2000-09-10,31.66,39.83,66.0,2000,9,Monsoon,29.153666666666666,1
2000-09-11,26.61,4.3,74.0,2000,9,Monsoon,29.14466666666667,1
2000-09-12,28.74,25.48,40.0,2000,9,Monsoon,29.10033333333333,1
2000-09-13,32.3,27.03,47.0,2000,9,Monsoon,29.241,1
2000-09-14,28.41,2.77,64.0,2000,9,Monsoon,29.326000000000004,1
2000-09-15,30.76,16.01,59.0,2000,9,Monsoon,29.463,1
2000-09-16,31.48,5.68,72.0,2000,9,Monsoon,29.528666666666666,1
2000-09-17,28.13,24.95,50.0,2000,9,Monsoon,29.574666666666666,1
2000-09-18,29.92,5.98,79.0,2000,9,Monsoon,29.615000000000002,1
2000-09-19,23.61,13.64,52.0,2000,9,Monsoon,29.454333333333334,1
2000-09-20,28.1,6.29,55.0,2000,9,Monsoon,29.487666666666666,1
2000-09-21,29.69,2.59,76.0,2000,9,Monsoon,29.385666666666665,1
2000-09-22,27.76,2.22,69.0,2000,9,Monsoon,29.317999999999998,1
2000-09-23,33.57,5.54,90.0,2000,9,Monsoon,29.619000000000003,1
2000-09-24,27.5,14.09,74.0,2000,9,Monsoon,29.568333333333335,1
2000-09-25,29.53,9.29,79.0,2000,9,Monsoon,29.639666666666667,1
2000-09-26,30.72,11.67,56.0,2000,9,Monsoon,29.64766666666667,1
2000-09-27,33.39,3.32,80.0,2000,9,Monsoon,29.852333333333334,1
2000-09-28,27.69,6.57,61.0,2000,9,Monsoon,29.819999999999997,1
2000-09-29,32.94,0.45,27.0,2000,9,Monsoon,29.919333333333334,1
2000-09-30,30.68,17.01,67.0,2000,9,Monsoon,29.917333333333332,1
2000-10-01,28.75,0.3,68.0,2000,10,Post-Monsoon,29.986666666666665,1
2000-10-02,31.68,0.21,44.0,2000,10,Post-Monsoon,29.827333333333335,1
2000-10-03,31.2,0.61,65.0,2000,10,Post-Monsoon,29.926,1
2000-10-04,29.65,0.95,62.0,2000,10,Post-Monsoon,29.983,1
2000-10-05,31.04,0.29,78.0,2000,10,Post-Monsoon,29.923000000000002,1
2000-10-06,30.18,0.36,67.0,2000,10,Post-Monsoon,29.923,1
2000-10-07,31.22,0.95,60.0,2000,10,Post-Monsoon,30.067,1
2000-10-08,32.36,2.91,40.0,2000,10,Post-Monsoon,30.101666666666667,1
2000-10-09,34.26,1.12,31.0,2000,10,Post-Monsoon,30.117666666666665,1
2000-10-10,28.65,1.53,79.0,2000,10,Post-Monsoon,30.017333333333333,1
2000-10-11,35.44,0.46,66.0,2000,10,Post-Monsoon,30.311666666666667,1
2000-10-12,27.31,0.32,56.0,2000,10,Post-Monsoon,30.264,1
2000-10-13,30.96,0.61,68.0,2000,10,Post-Monsoon,30.219333333333335,1
2000-10-14,32.48,1.65,56.0,2000,10,Post-Monsoon,30.355,1
2000-10-15,31.91,0.61,30.0,2000,10,Post-Monsoon,30.39333333333333,1
2000-10-16,30.15,1.88,75.0,2000,10,Post-Monsoon,30.348999999999997,1
2000-10-17,31.02,4.49,77.0,2000,10,Post-Monsoon,30.44533333333333,1
2000-10-18,30.49,0.07,55.0,2000,10,Post-Monsoon,30.464333333333332,1
2000-10-19,30.34,0.05,59.0,2000,10,Post-Monsoon,30.688666666666666,1
2000-10-20,33.26,0.16,51.0,2000,10,Post-Monsoon,30.860666666666663,1
2000-10-21,32.31,0.49,88.0,2000,10,Post-Monsoon,30.948,1
2000-10-22,30.25,0.14,78.0,2000,10,Post-Monsoon,31.031000000000002,1
2000-10-23,33.47,2.05,48.0,2000,10,Post-Monsoon,31.027666666666665,1
2000-10-24,32.33,0.02,69.0,2000,10,Post-Monsoon,31.188666666666666,1
2000-10-25,33.38,0.38,47.0,2000,10,Post-Monsoon,31.317,1
2000-10-26,33.05,0.2,48.0,2000,10,Post-Monsoon,31.394666666666662,1
2000-10-27,30.17,2.68,53.0,2000,10,Post-Monsoon,31.287333333333333,1
2000-10-28,30.74,1.11,51.0,2000,10,Post-Monsoon,31.389000000000003,1
2000-10-29,33.39,2.43,37.0,2000,10,Post-Monsoon,31.404,1
2000-10-30,33.15,3.59,80.0,2000,10,Post-Monsoon,31.486333333333334,1
2000-10-31,31.93,0.69,63.0,2000,10,Post-Monsoon,31.592333333333332,1
2000-11-01,32.24,0.27,83.0,2000,11,Post-Monsoon,31.610999999999997,1
2000-11-02,34.59,0.22,58.0,2000,11,Post-Monsoon,31.724,1
2000-11-03,30.89,0.25,38.0,2000,11,Post-Monsoon,31.76533333333333,1
2000-11-04,33.2,1.23,75.0,2000,11,Post-Monsoon,31.837333333333333,1
2000-11-05,31.73,0.04,64.0,2000,11,Post-Monsoon,31.889000000000003,1
2000-11-06,31.73,0.05,56.0,2000,11,Post-Monsoon,31.906000000000002,1
2000-11-07,34.4,0.94,78.0,2000,11,Post-Monsoon,31.974,1
2000-11-08,33.88,1.03,40.0,2000,11,Post-Monsoon,31.961333333333336,1
2000-11-09,33.89,1.09,75.0,2000,11,Post-Monsoon,32.136,1
2000-11-10,34.9,0.47,71.0,2000,11,Post-Monsoon,32.118,1
2000-11-11,32.36,1.64,63.0,2000,11,Post-Monsoon,32.28633333333333,1
2000-11-12,33.71,0.76,38.0,2000,11,Post-Monsoon,32.378,1
2000-11-13,31.76,0.11,74.0,2000,11,Post-Monsoon,32.354,1
2000-11-14,33.05,1.6,71.0,2000,11,Post-Monsoon,32.392,1
2000-11-15,32.17,3.06,64.0,2000,11,Post-Monsoon,32.45933333333333,1
2000-11-16,32.65,0.06,59.0,2000,11,Post-Monsoon,32.51366666666667,1
2000-11-17,33.67,0.5,43.0,2000,11,Post-Monsoon,32.61966666666667,1
2000-11-18,30.87,0.67,43.0,2000,11,Post-Monsoon,32.63733333333333,1
2000-11-19,36.72,0.16,48.0,2000,11,Post-Monsoon,32.75266666666667,1
2000-11-20,30.55,2.02,36.0,2000,11,Post-Monsoon,32.693999999999996,1
2000-11-21,30.15,0.33,37.0,2000,11,Post-Monsoon,32.690666666666665,1
2000-11-22,34.92,1.53,53.0,2000,11,Post-Monsoon,32.739000000000004,1
2000-11-23,34.21,1.11,40.0,2000,11,Post-Monsoon,32.80166666666666,1
2000-11-24,33.9,0.91,57.0,2000,11,Post-Monsoon,32.819,1
2000-11-25,33.93,0.21,61.0,2000,11,Post-Monsoon,32.848333333333336,1
2000-11-26,32.67,0.25,38.0,2000,11,Post-Monsoon,32.931666666666665,1
2000-11-27,30.92,0.05,72.0,2000,11,Post-Monsoon,32.937666666666665,1
2000-11-28,32.88,0.28,75.0,2000,11,Post-Monsoon,32.92066666666667,1
2000-11-29,31.4,0.42,27.0,2000,11,Post-Monsoon,32.86233333333333,1
2000-11-30,34.72,1.79,80.0,2000,11,Post-Monsoon,32.955333333333336,1
2000-12-01,32.49,0.46,68.0,2000,12,Winter,32.96366666666667,1
2000-12-02,31.16,1.4,61.0,2000,12,Winter,32.849333333333334,1
2000-12-03,32.18,0.58,82.0,2000,12,Winter,32.89233333333333,1
2000-12-04,33.67,1.54,62.0,2000,12,Winter,32.908,1
2000-12-05,31.73,3.74,48.0,2000,12,Winter,32.908,1
2000-12-06,31.23,0.27,38.0,2000,12,Winter,32.891333333333336,1
2000-12-07,33.37,1.98,58.0,2000,12,Winter,32.857,1
2000-12-08,33.39,0.97,58.0,2000,12,Winter,32.84066666666667,1
2000-12-09,31.9,1.7,34.0,2000,12,Winter,32.77433333333333,1
2000-12-10,31.98,1.05,55.0,2000,12,Winter,32.677,1
2000-12-11,33.4,0.55,83.0,2000,12,Winter,32.711666666666666,1
2000-12-12,30.05,0.26,68.0,2000,12,Winter,32.589666666666666,1
2000-12-13,30.15,0.07,40.0,2000,12,Winter,32.535999999999994,1
2000-12-14,31.54,0.77,65.0,2000,12,Winter,32.48566666666667,1
2000-12-15,32.56,4.64,71.0,2000,12,Winter,32.498666666666665,1
2000-12-16,33.61,1.34,75.0,2000,12,Winter,32.53066666666667,1
2000-12-17,35.95,0.4,69.0,2000,12,Winter,32.60666666666667,1
2000-12-18,34.72,1.76,77.0,2000,12,Winter,32.735,1
2000-12-19,32.7,1.47,71.0,2000,12,Winter,32.601,1
2000-12-20,32.99,0.33,56.0,2000,12,Winter,32.68233333333333,1
2000-12-21,31.02,0.01,65.0,2000,12,Winter,32.711333333333336,1
2000-12-22,33.0,0.13,57.0,2000,12,Winter,32.64733333333333,1
2000-12-23,32.46,2.1,66.0,2000,12,Winter,32.589000000000006,1
2000-12-24,33.69,1.81,71.0,2000,12,Winter,32.582,1
2000-12-25,31.4,0.35,59.0,2000,12,Winter,32.49766666666667,1
2000-12-26,34.09,0.34,65.0,2000,12,Winter,32.545,1
2000-12-27,36.12,1.57,53.0,2000,12,Winter,32.718333333333334,1
2000-12-28,32.84,2.78,55.0,2000,12,Winter,32.717,1
2000-12-29,33.86,1.51,59.0,2000,12,Winter,32.799,1
