Date,Temperature_C,Rainfall_mm,Humidity_pct
2000-04-24,20.18,2.31,61.0
2000-04-25,21.23,2.1,44.0
2000-04-26,20.61,0.05,89.0
2000-04-27,18.4,0.36,25.0
2000-04-28,23.09,0.59,49.0
2000-04-29,22.36,0.19,52.0
2000-04-30,22.5,1.31,45.0
2000-05-01,19.16,0.2,70.0
2000-05-02,23.84,0.43,50.0
2000-05-03,18.29,1.09,69.0
2000-05-04,22.33,0.66,84.0
2000-05-05,25.6,1.34,79.0
2000-05-06,19.3,3.25,62.0
2000-05-07,20.21,0.12,60.0
2000-05-08,21.6,1.24,73.0
2000-05-09,20.46,0.26,56.0
2000-05-10,18.42,0.54,53.0
2000-05-11,21.72,0.03,45.0
2000-05-12,19.52,0.15,65.0
2000-05-13,22.66,0.39,44.0
2000-05-14,19.94,0.42,49.0
2000-05-15,24.94,2.3,92.0
2000-05-16,20.33,1.35,70.0
2000-05-17,21.32,3.58,66.0
2000-05-18,23.66,0.91,49.0
2000-05-19,19.63,0.28,72.0
2000-05-20,22.61,0.4,45.0
2000-05-21,24.84,0.39,37.0
2000-05-22,19.07,0.4,52.0
2000-05-23,22.72,1.12,42.0
2000-05-24,22.94,0.76,67.0
2000-05-25,24.05,0.49,65.0
2000-05-26,20.07,0.16,63.0
2000-05-27,19.97,0.02,69.0
2000-05-28,23.72,0.25,68.0
2000-05-29,23.34,0.11,50.0
2000-05-30,23.31,1.54,67.0
2000-05-31,23.57,0.12,65.0
2000-06-01,21.58,11.21,51.0
2000-06-02,23.48,2.29,55.0
2000-06-03,23.66,26.98,73.0
2000-06-04,21.72,3.07,40.0
2000-06-05,26.94,1.62,65.0
2000-06-06,24.23,0.94,58.0
2000-06-07,20.96,8.29,60.0
2000-06-08,24.73,1.21,56.0
2000-06-09,21.53,1.49,66.0
2000-06-10,25.12,3.57,36.0
2000-06-11,25.93,3.31,64.0
2000-06-12,22.04,9.27,44.0
2000-06-13,25.68,16.97,75.0
2000-06-14,24.65,14.33,41.0
2000-06-15,25.53,3.04,24.0
2000-06-16,27.75,2.81,35.0
2000-06-17,23.54,33.75,59.0
2000-06-18,22.59,0.08,37.0
2000-06-19,22.38,21.18,40.0
2000-06-20,22.6,2.23,50.0
2000-06-21,24.15,29.43,68.0
2000-06-22,25.05,4.19,48.0
2000-06-23,24.99,5.8,57.0
2000-06-24,26.16,12.28,57.0
2000-06-25,24.6,8.86,38.0
2000-06-26,27.55,3.83,66.0
2000-06-27,24.18,8.07,94.0
2000-06-28,30.22,13.12,34.0
2000-06-29,26.1,0.43,47.0
2000-06-30,23.21,0.11,41.0
2000-07-01,22.85,6.13,57.0
2000-07-02,26.02,1.41,38.0
2000-07-03,24.68,10.92,79.0
2000-07-04,26.62,2.41,81.0
2000-07-05,26.21,5.67,70.0
2000-07-06,25.19,2.2,74.0
2000-07-07,23.71,7.95,62.0
2000-07-08,22.44,1.23,76.0
2000-07-09,24.65,0.23,55.0
2000-07-10,27.32,0.52,52.0
2000-07-11,26.11,30.85,70.0
2000-07-12,23.26,1.53,54.0
2000-07-13,26.16,12.33,92.0
2000-07-14,26.66,0.7,76.0
2000-07-15,24.19,1.14,52.0
2000-07-16,26.33,7.11,57.0
2000-07-17,26.21,6.25,58.0
2000-07-18,23.87,30.28,49.0
2000-07-19,26.94,28.97,73.0
2000-07-20,27.42,15.12,47.0
2000-07-21,28.53,9.22,59.0
2000-07-22,28.54,6.07,48.0
2000-07-23,23.74,4.4,52.0
2000-07-24,24.69,29.39,72.0
2000-07-25,27.66,9.24,70.0
2000-07-26,27.73,8.65,55.0
2000-07-27,27.8,2.64,77.0
2000-07-28,34.54,0.48,69.0
2000-07-29,28.05,29.04,62.0
2000-07-30,29.24,3.76,74.0
2000-07-31,20.95,5.84,81.0
2000-08-01,28.41,1.22,67.0
2000-08-02,26.54,18.14,64.0
2000-08-03,28.76,0.28,31.0
2000-08-04,25.76,17.96,64.0
2000-08-05,26.9,1.51,67.0
2000-08-06,26.46,21.77,65.0
2000-08-07,27.67,13.08,46.0
2000-08-08,32.2,1.8,50.0
2000-08-09,23.9,8.34,71.0
2000-08-10,29.07,3.75,54.0
2000-08-11,24.54,1.96,63.0
2000-08-12,26.88,19.6,28.0
2000-08-13,30.07,5.17,60.0
2000-08-14,28.08,5.08,72.0
2000-08-15,25.86,1.86,65.0
2000-08-16,26.65,4.83,58.0
2000-08-17,29.51,20.53,44.0
2000-08-18,26.75,4.51,33.0
2000-08-19,28.71,30.28,48.0
2000-08-20,28.43,29.25,76.0
2000-08-21,27.1,1.57,59.0
2000-08-22,32.75,1.95,70.0
2000-08-23,29.79,19.85,82.0
2000-08-24,24.54,4.99,62.0
2000-08-25,29.02,0.04,73.0
2000-08-26,27.39,3.2,77.0
2000-08-27,30.48,9.1,39.0
2000-08-28,27.25,16.06,49.0
2000-08-29,28.66,1.43,35.0
2000-08-30,29.96,1.17,33.0
2000-08-31,30.74,25.52,53.0
2000-09-01,26.67,13.91,56.0
2000-09-02,36.46,8.91,32.0
2000-09-03,28.24,14.66,67.0
2000-09-04,27.94,5.6,53.0
2000-09-05,32.84,14.21,82.0
2000-09-06,30.18,4.65,63.0
2000-09-07,26.9,2.8,63.0
2000-09-08,31.32,13.06,57.0
2000-09-09,33.78,5.44,58.0
2000-09-10,31.66,39.83,66.0
2000-09-11,26.61,4.3,74.0
2000-09-12,28.74,25.48,40.0
2000-09-13,32.3,27.03,47.0
2000-09-14,28.41,2.77,64.0
2000-09-15,30.76,16.01,59.0
2000-09-16,31.48,5.68,72.0
2000-09-17,28.13,24.95,50.0
2000-09-18,29.92,5.98,79.0
2000-09-19,23.61,13.64,52.0
2000-09-20,28.1,6.29,55.0
2000-09-21,29.69,2.59,76.0
2000-09-22,27.76,2.22,69.0
2000-09-23,33.57,5.54,90.0
2000-09-24,27.5,14.09,74.0
2000-09-25,29.53,9.29,79.0
2000-09-26,30.72,11.67,56.0
2000-09-27,33.39,3.32,80.0
2000-09-28,27.69,6.57,61.0
2000-09-29,32.94,0.45,27.0
2000-09-30,30.68,17.01,67.0
2000-10-01,28.75,0.3,68.0
2000-10-02,31.68,0.21,44.0
2000-10-03,31.2,0.61,65.0
2000-10-04,29.65,0.95,62.0
2000-10-05,31.04,0.29,78.0
2000-10-06,30.18,0.36,67.0
2000-10-07,31.22,0.95,60.0
2000-10-08,32.36,2.91,40.0
2000-10-09,34.26,1.12,31.0
2000-10-10,28.65,1.53,79.0
2000-10-11,35.44,0.46,66.0
2000-10-12,27.31,0.32,56.0
2000-10-13,30.96,0.61,68.0
2000-10-14,32.48,1.65,56.0
2000-10-15,31.91,0.61,30.0
2000-10-16,30.15,1.88,75.0
2000-10-17,31.02,4.49,77.0
2000-10-18,30.49,0.07,55.0
2000-10-19,30.34,0.05,59.0
2000-10-20,33.26,0.16,51.0
2000-10-21,32.31,0.49,88.0
2000-10-22,30.25,0.14,78.0
2000-10-23,33.47,2.05,48.0
2000-10-24,32.33,0.02,69.0
2000-10-25,33.38,0.38,47.0
2000-10-26,33.05,0.2,48.0
2000-10-27,30.17,2.68,53.0
2000-10-28,30.74,1.11,51.0
2000-10-29,33.39,2.43,37.0
2000-10-30,33.15,3.59,80.0
2000-10-31,31.93,0.69,63.0
2000-11-01,32.24,0.27,83.0
2000-11-02,34.59,0.22,58.0
2000-11-03,30.89,0.25,38.0
2000-11-04,33.2,1.23,75.0
2000-11-05,31.73,0.04,64.0
2000-11-06,31.73,0.05,56.0
2000-11-07,34.4,0.94,78.0
2000-11-08,33.88,1.03,40.0
2000-11-09,33.89,1.09,75.0
2000-11-10,34.9,0.47,71.0
2000-11-11,32.36,1.64,63.0
2000-11-12,33.71,0.76,38.0
2000-11-13,31.76,0.11,74.0
2000-11-14,33.05,1.6,71.0
2000-11-15,32.17,3.06,64.0
2000-11-16,32.65,0.06,59.0
2000-11-17,33.67,0.5,43.0
2000-11-18,30.87,0.67,43.0
2000-11-19,36.72,0.16,48.0
2000-11-20,30.55,2.02,36.0
2000-11-21,30.15,0.33,37.0
2000-11-22,34.92,1.53,53.0
2000-11-23,34.21,1.11,40.0
2000-11-24,33.9,0.91,57.0
2000-11-25,33.93,0.21,61.0
2000-11-26,32.67,0.25,38.0
2000-11-27,30.92,0.05,72.0
2000-11-28,32.88,0.28,75.0
2000-11-29,31.4,0.42,27.0
2000-11-30,34.72,1.79,80.0
2000-12-01,32.49,0.46,68.0
2000-12-02,31.16,1.4,61.0
2000-12-03,32.18,0.58,82.0
2000-12-04,33.67,1.54,62.0
2000-12-05,31.73,3.74,48.0
2000-12-06,31.23,0.27,38.0
2000-12-07,33.37,1.98,58.0
2000-12-08,33.39,0.97,58.0
2000-12-09,31.9,1.7,34.0
2000-12-10,31.98,1.05,55.0
2000-12-11,33.4,0.55,83.0
2000-12-12,30.05,0.26,68.0
2000-12-13,30.15,0.07,40.0
2000-12-14,31.54,0.77,65.0
2000-12-15,32.56,4.64,71.0
2000-12-16,33.61,1.34,75.0
2000-12-17,35.95,0.4,69.0
2000-12-18,34.72,1.76,77.0
2000-12-19,32.7,1.47,71.0
2000-12-20,32.99,0.33,56.0
2000-12-21,31.02,0.01,65.0
2000-12-22,33.0,0.13,57.0
2000-12-23,32.46,2.1,66.0
2000-12-24,33.69,1.81,71.0
2000-12-25,31.4,0.35,59.0
2000-12-26,34.09,0.34,65.0
2000-12-27,36.12,1.57,53.0
2000-12-28,32.84,2.78,55.0
2000-12-29,33.86,1.51,59.0
2000-12-30,34.44,0.93,52.0
2000-12-31,32.26,0.28,80.0
2001-01-01,33.51,0.75,69.0
2001-01-02,33.09,0.27,71.0
2001-01-03,33.26,1.65,68.0
2001-01-04,31.51,0.49,63.0
2001-01-05,33.11,1.79,42.0
2001-01-06,34.05,0.48,77.0
2001-01-07,35.95,1.74,91.0
2001-01-08,34.96,0.41,70.0
2001-01-09,37.35,0.58,48.0
2001-01-10,31.5,0.96,69.0
2001-01-11,34.77,0.07,48.0
2001-01-12,33.39,2.96,53.0
2001-01-13,37.4,0.85,24.0
2001-01-14,31.39,0.71,81.0
2001-01-15,31.32,1.83,65.0
2001-01-16,31.79,2.01,69.0
2001-01-17,28.73,0.74,72.0
2001-01-18,31.92,2.62,67.0
2001-01-19,31.44,0.07,75.0
2001-01-20,33.25,0.12,80.0
2001-01-21,33.62,0.91,59.0
2001-01-22,36.68,0.44,35.0
2001-01-23,34.81,0.62,47.0
2001-01-24,31.75,0.4,69.0
2001-01-25,31.09,0.52,45.0
2001-01-26,33.85,1.73,59.0
2001-01-27,30.22,0.9,98.0
2001-01-28,36.5,5.93,76.0
2001-01-29,35.18,1.55,30.0
2001-01-30,31.87,0.32,95.0
2001-01-31,29.36,0.31,81.0
2001-02-01,35.48,0.41,70.0
2001-02-02,32.52,1.85,62.0
2001-02-03,35.21,0.03,39.0
2001-02-04,29.52,0.26,54.0
2001-02-05,31.49,2.35,30.0
2001-02-06,32.68,1.02,74.0
2001-02-07,32.74,0.26,63.0
2001-02-08,31.73,0.25,49.0
2001-02-09,33.85,1.98,75.0
2001-02-10,30.45,2.24,65.0
2001-02-11,32.27,0.3,85.0
2001-02-12,32.77,0.55,53.0
2001-02-13,33.54,1.8,81.0
2001-02-14,33.91,1.47,63.0
2001-02-15,30.21,1.68,48.0
2001-02-16,29.36,0.73,69.0
2001-02-17,34.96,2.43,61.0
2001-02-18,33.04,0.39,67.0
2001-02-19,30.85,0.17,45.0
2001-02-20,35.42,1.23,25.0
2001-02-21,32.52,0.78,53.0
2001-02-22,34.62,1.93,69.0
2001-02-23,32.37,0.08,68.0
2001-02-24,36.32,1.86,53.0
2001-02-25,35.68,0.35,64.0
2001-02-26,31.64,1.06,54.0
2001-02-27,34.05,0.04,58.0
2001-02-28,33.36,0.94,79.0
2001-03-01,34.77,1.26,40.0
2001-03-02,30.07,0.46,88.0
2001-03-03,33.34,0.24,63.0
2001-03-04,34.05,0.77,90.0
2001-03-05,28.38,1.79,88.0
2001-03-06,29.5,0.39,26.0
2001-03-07,27.75,0.29,63.0
2001-03-08,31.25,0.33,45.0
2001-03-09,33.19,2.98,58.0
2001-03-10,34.72,0.45,67.0
2001-03-11,31.82,0.0,82.0
2001-03-12,34.89,1.52,44.0
2001-03-13,28.84,1.2,98.0
2001-03-14,28.15,0.14,51.0
2001-03-15,31.41,4.19,40.0
2001-03-16,32.24,0.94,76.0
2001-03-17,31.37,0.69,62.0
2001-03-18,27.26,0.48,93.0
2001-03-19,31.17,2.29,45.0
2001-03-20,28.7,0.28,63.0
2001-03-21,40.6,0.34,79.0
2001-03-22,31.95,0.13,47.0
2001-03-23,29.3,1.42,79.0
2001-03-24,30.1,0.91,66.0
2001-03-25,28.97,0.94,45.0
2001-03-26,30.92,0.25,79.0
2001-03-27,32.91,1.05,57.0
2001-03-28,28.98,1.45,78.0
2001-03-29,31.91,0.44,49.0
2001-03-30,29.79,1.62,38.0
2001-03-31,29.22,0.43,53.0
2001-04-01,30.55,1.42,58.0
2001-04-02,28.64,0.03,63.0
2001-04-03,29.55,0.8,68.0
2001-04-04,28.22,3.49,89.0
2001-04-05,34.49,3.98,58.0
2001-04-06,30.58,0.33,87.0
2001-04-07,29.06,0.58,75.0
2001-04-08,30.84,0.07,59.0
2001-04-09,30.14,2.07,65.0
2001-04-10,29.87,0.84,66.0
2001-04-11,31.48,0.49,75.0
2001-04-12,31.72,0.12,78.0
2001-04-13,29.09,2.93,39.0
2001-04-14,28.95,0.76,75.0
2001-04-15,29.49,0.33,66.0
2001-04-16,25.39,0.43,66.0
2001-04-17,26.91,0.32,58.0
2001-04-18,32.62,0.92,71.0
2001-04-19,33.12,2.66,73.0
2001-04-20,29.27,1.94,62.0
2001-04-21,30.87,0.62,75.0
2001-04-22,30.28,1.75,51.0
2001-04-23,35.76,0.55,60.0
2001-04-24,31.78,0.29,65.0
2001-04-25,29.23,4.1,55.0
2001-04-26,27.52,0.36,55.0
2001-04-27,26.16,0.39,46.0
2001-04-28,29.72,4.57,66.0
2001-04-29,27.74,0.14,89.0
2001-04-30,26.35,1.43,69.0
2001-05-01,27.85,2.75,57.0
2001-05-02,26.92,0.72,80.0
2001-05-03,32.39,0.0,59.0
2001-05-04,30.72,0.47,71.0
2001-05-05,28.88,0.12,68.0
2001-05-06,31.8,0.54,38.0
2001-05-07,28.93,1.56,62.0
2001-05-08,27.0,0.58,92.0
2001-05-09,31.7,0.57,52.0
2001-05-10,29.67,0.81,84.0
2001-05-11,26.46,0.87,75.0
2001-05-12,28.09,1.94,53.0
2001-05-13,26.66,0.37,62.0
2001-05-14,25.58,1.72,46.0
2001-05-15,30.14,0.83,74.0
2001-05-16,32.04,0.36,46.0
2001-05-17,25.36,0.35,68.0
2001-05-18,29.22,0.45,89.0
2001-05-19,26.73,0.97,52.0
2001-05-20,26.99,0.26,67.0
2001-05-21,26.72,2.53,39.0
2001-05-22,26.11,0.86,62.0
2001-05-23,27.87,2.53,46.0
2001-05-24,26.05,0.05,65.0
2001-05-25,28.18,0.42,53.0
2001-05-26,27.48,0.02,47.0
2001-05-27,27.04,0.32,59.0
2001-05-28,25.63,1.98,22.0
2001-05-29,26.23,0.04,46.0
2001-05-30,28.83,0.57,97.0
2001-05-31,28.25,0.13,58.0
2001-06-01,25.23,24.16,54.0
2001-06-02,27.32,12.58,67.0
2001-06-03,28.55,21.6,77.0
2001-06-04,23.65,3.85,86.0
2001-06-05,28.0,4.8,61.0
2001-06-06,25.53,9.51,59.0
2001-06-07,27.93,9.77,68.0
2001-06-08,25.19,6.57,63.0
2001-06-09,23.04,5.12,59.0
2001-06-10,31.33,42.82,71.0
2001-06-11,26.61,17.21,71.0
2001-06-12,26.97,5.71,63.0
2001-06-13,24.57,12.99,98.0
2001-06-14,27.59,3.14,90.0
2001-06-15,22.92,1.06,70.0
2001-06-16,26.04,4.35,79.0
2001-06-17,23.69,5.16,52.0
2001-06-18,24.74,0.17,62.0
2001-06-19,26.07,16.86,73.0
2001-06-20,24.18,4.45,83.0
2001-06-21,25.07,8.68,46.0
2001-06-22,27.78,0.77,52.0
2001-06-23,24.54,1.92,63.0
2001-06-24,27.3,22.04,85.0
2001-06-25,23.3,9.38,63.0
2001-06-26,26.55,30.01,79.0
2001-06-27,28.31,66.85,59.0
2001-06-28,20.41,4.65,73.0
2001-06-29,23.69,3.55,45.0
2001-06-30,26.37,19.54,50.0
2001-07-01,24.74,65.79,58.0
2001-07-02,25.82,9.93,44.0
2001-07-03,23.8,15.85,43.0
2001-07-04,25.12,15.22,55.0
2001-07-05,24.56,4.39,39.0
2001-07-06,27.14,8.54,59.0
2001-07-07,25.25,17.9,65.0
2001-07-08,25.34,11.65,48.0
2001-07-09,23.78,0.21,55.0
2001-07-10,23.56,4.11,55.0
2001-07-11,23.6,1.56,84.0
2001-07-12,25.18,2.65,62.0
2001-07-13,23.48,23.59,94.0
2001-07-14,24.84,0.38,54.0
2001-07-15,28.34,2.48,54.0
2001-07-16,25.86,3.7,77.0
2001-07-17,23.4,9.59,22.0
2001-07-18,26.39,7.64,72.0
2001-07-19,23.1,2.46,59.0
2001-07-20,19.77,1.79,62.0
2001-07-21,21.77,2.7,55.0
2001-07-22,19.97,6.98,69.0
2001-07-23,22.94,3.16,32.0
2001-07-24,23.62,29.49,49.0
2001-07-25,26.87,6.23,89.0
2001-07-26,24.1,0.61,61.0
2001-07-27,22.94,13.07,42.0
2001-07-28,24.97,3.99,61.0
2001-07-29,18.82,10.6,71.0
2001-07-30,23.65,3.28,61.0
2001-07-31,24.65,8.46,58.0
2001-08-01,20.09,14.79,51.0
2001-08-02,25.27,26.31,41.0
2001-08-03,23.59,3.03,32.0
2001-08-04,22.02,4.08,48.0
2001-08-05,24.05,6.24,80.0
2001-08-06,27.26,26.2,54.0
2001-08-07,23.01,23.17,58.0
2001-08-08,23.08,0.94,37.0
2001-08-09,21.6,1.41,60.0
2001-08-10,20.75,6.84,54.0
2001-08-11,24.05,1.13,55.0
2001-08-12,20.61,4.24,51.0
2001-08-13,22.4,1.61,51.0
2001-08-14,21.24,10.11,56.0
2001-08-15,23.09,29.86,60.0
2001-08-16,22.74,57.24,26.0
2001-08-17,24.08,4.7,35.0
2001-08-18,20.92,9.14,52.0
2001-08-19,21.34,19.4,74.0
2001-08-20,19.86,1.25,39.0
2001-08-21,20.87,11.7,69.0
2001-08-22,22.45,5.26,85.0
2001-08-23,23.14,2.31,56.0
2001-08-24,19.72,5.15,53.0
2001-08-25,23.25,0.79,68.0
2001-08-26,24.16,11.89,62.0
2001-08-27,22.21,2.91,51.0
2001-08-28,25.08,3.73,64.0
2001-08-29,19.72,1.29,50.0
2001-08-30,18.72,20.0,81.0
2001-08-31,17.59,6.8,57.0
2001-09-01,24.08,8.49,66.0
2001-09-02,22.33,8.43,85.0
2001-09-03,20.86,5.28,57.0
2001-09-04,21.47,2.14,49.0
2001-09-05,18.6,13.67,51.0
2001-09-06,25.68,1.36,60.0
2001-09-07,20.99,1.1,58.0
2001-09-08,20.9,12.38,57.0
2001-09-09,22.07,2.34,65.0
2001-09-10,21.53,3.66,62.0
2001-09-11,20.96,6.45,53.0
2001-09-12,18.87,5.97,60.0
2001-09-13,21.34,12.33,50.0
2001-09-14,24.1,9.77,53.0
2001-09-15,22.98,10.34,25.0
2001-09-16,23.42,12.52,48.0
2001-09-17,19.15,3.46,72.0
2001-09-18,18.14,3.89,69.0
2001-09-19,19.82,5.76,71.0
2001-09-20,20.13,3.67,66.0
2001-09-21,22.15,41.96,53.0
2001-09-22,16.53,16.82,41.0
2001-09-23,22.92,1.8,55.0
2001-09-24,19.49,0.06,14.0
2001-09-25,18.9,0.44,77.0
2001-09-26,17.68,2.8,63.0
2001-09-27,16.35,1.21,73.0
2001-09-28,21.25,7.62,52.0
2001-09-29,19.7,19.52,36.0
2001-09-30,16.93,13.35,63.0
2001-10-01,16.87,0.69,63.0
2001-10-02,18.74,0.34,58.0
2001-10-03,22.7,1.47,64.0
2001-10-04,18.8,0.14,53.0
2001-10-05,16.26,1.45,63.0
2001-10-06,18.73,1.71,67.0
2001-10-07,18.63,0.13,85.0
2001-10-08,13.73,3.77,71.0
2001-10-09,18.97,4.23,41.0
2001-10-10,18.58,2.76,54.0
2001-10-11,20.39,0.69,47.0
2001-10-12,22.65,0.28,81.0
2001-10-13,21.16,0.87,53.0
2001-10-14,18.33,0.54,56.0
2001-10-15,16.61,0.23,58.0
2001-10-16,23.93,0.55,66.0
2001-10-17,18.86,1.09,42.0
2001-10-18,18.72,0.07,60.0
2001-10-19,18.61,0.41,74.0
2001-10-20,19.01,0.02,55.0
2001-10-21,18.29,1.38,87.0
2001-10-22,17.39,1.02,47.0
2001-10-23,17.4,0.06,52.0
2001-10-24,18.39,3.34,72.0
2001-10-25,25.33,0.02,60.0
2001-10-26,24.96,0.89,57.0
2001-10-27,18.56,1.5,43.0
2001-10-28,17.8,1.55,51.0
2001-10-29,21.28,0.03,87.0
2001-10-30,12.94,2.37,65.0
2001-10-31,20.39,2.51,69.0
2001-11-01,20.66,0.82,51.0
2001-11-02,13.99,0.66,63.0
2001-11-03,17.42,0.05,56.0
2001-11-04,17.33,0.83,41.0
2001-11-05,15.22,0.53,49.0
2001-11-06,16.45,1.48,52.0
2001-11-07,15.76,0.52,91.0
2001-11-08,21.45,1.15,88.0
2001-11-09,19.79,0.11,35.0
2001-11-10,20.43,0.14,48.0
2001-11-11,19.3,0.15,57.0
2001-11-12,15.57,0.05,60.0
2001-11-13,16.75,0.78,58.0
2001-11-14,18.75,1.58,88.0
2001-11-15,15.3,0.94,53.0
2001-11-16,19.15,0.86,87.0
2001-11-17,17.21,1.14,74.0
2001-11-18,16.92,0.41,59.0
2001-11-19,19.07,0.45,50.0
2001-11-20,18.51,0.38,50.0
2001-11-21,16.87,1.25,89.0
2001-11-22,19.89,0.18,71.0
2001-11-23,15.39,0.01,64.0
2001-11-24,18.76,0.91,27.0
2001-11-25,18.69,2.85,53.0
2001-11-26,16.87,0.94,54.0
2001-11-27,18.12,1.53,63.0
2001-11-28,14.95,1.12,58.0
2001-11-29,19.28,0.69,54.0
2001-11-30,17.04,1.27,65.0
2001-12-01,16.35,1.74,73.0
2001-12-02,19.47,0.25,51.0
2001-12-03,15.95,0.41,45.0
2001-12-04,14.52,0.25,52.0
2001-12-05,14.21,0.6,46.0
2001-12-06,18.52,2.16,56.0
2001-12-07,14.74,0.42,90.0
2001-12-08,20.79,0.47,55.0
2001-12-09,13.11,1.97,43.0
2001-12-10,20.65,0.72,53.0
2001-12-11,17.67,0.77,83.0
2001-12-12,17.04,1.97,56.0
2001-12-13,16.13,0.67,48.0
2001-12-14,18.01,1.14,34.0
2001-12-15,17.13,0.09,55.0
2001-12-16,19.4,0.2,38.0
2001-12-17,17.41,0.52,63.0
2001-12-18,17.48,0.68,54.0
2001-12-19,16.44,3.37,29.0
2001-12-20,17.05,3.53,85.0
2001-12-21,17.77,1.91,92.0
2001-12-22,13.73,0.38,64.0
2001-12-23,14.45,3.33,83.0
2001-12-24,18.63,1.17,63.0
2001-12-25,17.48,0.5,31.0
2001-12-26,16.76,1.21,56.0
2001-12-27,17.17,0.02,51.0
2001-12-28,17.82,0.16,38.0
2001-12-29,16.05,1.77,60.0
2001-12-30,15.57,1.04,49.0
2001-12-31,17.52,0.45,63.0
2002-01-01,15.17,0.69,71.0
2002-01-02,17.94,2.36,85.0
2002-01-03,13.72,1.0,60.0
